STATE_NAME,STATE,COUNTY_NAME,COUNTY,DATE,CASE_TYPE,CASES_White,CASES_Black,CASES_Asian,CASES_Native,CASES_OtherRace,CASES_UnknownRace,CASES_Hispanic,CASES_NotHispanic,CASES_UnknownEthnicity,tot_pop,white_pop,black_pop,native_pop,asian_pop,hispanic_pop,nothispanic_pop,nothispanic_white_pop,nothispanic_black_pop,Hispanic_as_Race,COUNTY_x,COUNTY_y,Prop_unknown,Prop_unknown_to_black,Black_Disparity,Hispanic_Disparity
Texas,48,Burnet,48053,2021-07-01,Partial Coverage,39.839177132465764,25.240384615384617,40.396039603960396,,1681.0,1726.0,20.44325915026669,,,48155.0,45360.0,982.0,584.0,505.0,10874.0,37281.0,35194.0,832.0,,,,0.0016395587401374142,0.13745630879643098,1.578390255914834,1.9487683856879565
Texas,48,Caldwell,48055,2021-07-01,Complete Coverage,32.5107810253953,19.709794437726725,17.23446893787575,,1714.0,2246.0,22.671151226158038,,,43664.0,38795.0,2874.0,712.0,499.0,23488.0,20176.0,16696.0,2481.0,,,,0.0021256475653392832,0.06990791142077692,1.6494733685890746,1.4340154454919904
Texas,48,Caldwell,48055,2021-07-01,Partial Coverage,37.08672735984667,22.57154373236598,20.64128256513026,,2117.0,2736.0,27.614100817438693,,,43664.0,38795.0,2874.0,712.0,499.0,23488.0,20176.0,16696.0,2481.0,,,,0.002239084997970465,0.07481044959737548,1.6430744746389212,1.343035849873695
Texas,48,Calhoun,48057,2021-07-01,Complete Coverage,36.640791990100126,27.566539923954373,46.556233653007844,,491.0,635.0,26.335297471963504,,,21290.0,19012.0,666.0,184.0,1147.0,10522.0,10768.0,8889.0,526.0,,,,0.0010758646503738133,0.061331262296779536,1.3291763163305288,1.3913187055930478
Texas,48,Calhoun,48057,2021-07-01,Partial Coverage,40.03824952188098,31.55893536121673,51.00261551874455,,544.0,757.0,29.652157384527655,,,21290.0,19012.0,666.0,184.0,1147.0,10522.0,10768.0,8889.0,526.0,,,,0.0011273571754181445,0.061898585332320274,1.268681882440325,1.3502642995808707
Texas,48,Callahan,48059,2021-07-01,Complete Coverage,21.35377398006199,2.4038461538461537,23.636363636363637,,130.0,672.0,15.461703650680029,,,13943.0,13205.0,237.0,132.0,110.0,1397.0,12546.0,11937.0,208.0,,,,0.0026077205042788934,1.4077299578059073,,1.3810751041734537
Texas,48,Callahan,48059,2021-07-01,Partial Coverage,23.64078076568652,3.3653846153846154,27.272727272727273,,155.0,748.0,19.04080171796707,,,13943.0,13205.0,237.0,132.0,110.0,1397.0,12546.0,11937.0,208.0,,,,0.002628996179928533,1.1321518987341772,,1.241585365776845
Texas,48,Cameron,48061,2021-07-01,Complete Coverage,76.27607817267256,20.765370138017566,21.616438356164384,,7350.0,30785.0,39.84708331911117,,,423163.0,410776.0,3470.0,2880.0,3650.0,380861.0,42302.0,36381.0,1594.0,,,,0.0008166359788528177,0.529242362241744,,1.9142198579962206
Texas,48,Cameron,48061,2021-07-01,Partial Coverage,88.32632418020395,24.40401505646173,24.684931506849313,,9182.0,34394.0,47.21381291337259,,,423163.0,410776.0,3470.0,2880.0,3650.0,380861.0,42302.0,36381.0,1594.0,,,,0.0007998151031628399,0.5145843847002957,,1.8707729524464412
Texas,48,Camp,48063,2021-07-01,Complete Coverage,26.872307906071974,23.737864077669904,25.625,,262.0,365.0,14.508994396933058,,,13094.0,10293.0,2166.0,126.0,160.0,3391.0,9703.0,7197.0,2060.0,,,,0.0016416196231091732,0.012194596921752232,1.1320440549388193,1.8521137420628062
Texas,48,Camp,48063,2021-07-01,Partial Coverage,30.90176462414895,28.78640776699029,29.375,,297.0,404.0,19.315836036567383,,,13094.0,10293.0,2166.0,126.0,160.0,3391.0,9703.0,7197.0,2060.0,,,,0.0015532071292728333,0.01124273806910104,1.0734845721036566,1.5998150204654824
Texas,48,Carson,48065,2021-07-01,Complete Coverage,19.36056838365897,10.344827586206897,16.27906976744186,,57.0,275.0,17.01388888888889,,,5926.0,5598.0,65.0,96.0,43.0,576.0,5350.0,5067.0,58.0,,,,0.002769323472415016,0.4937435897435898,,1.137927284590568
Texas,48,Carson,48065,2021-07-01,Partial Coverage,21.847246891651864,10.344827586206897,20.930232558139537,,69.0,296.0,19.96527777777778,,,5926.0,5598.0,65.0,96.0,43.0,576.0,5350.0,5067.0,58.0,,,,0.002688997835621058,0.5428205128205128,,1.0942621051818673
Texas,48,Cass,48067,2021-07-01,Complete Coverage,18.90564714135391,19.275677815159312,27.272727272727273,,620.0,383.0,25.296995108315862,,,30026.0,24027.0,5117.0,230.0,165.0,1431.0,28595.0,22808.0,5053.0,,,,0.0016868975883916962,0.010168944040058121,0.9808032341402597,0.7473475430739626
Texas,48,Cass,48067,2021-07-01,Partial Coverage,21.751139950894423,22.501484266772213,32.121212121212125,,700.0,542.0,31.795946890286512,,,30026.0,24027.0,5117.0,230.0,165.0,1431.0,28595.0,22808.0,5053.0,,,,0.0018005304138362314,0.010786859261100281,0.9666535635168824,0.6840853026314269
Texas,48,Castro,48069,2021-07-01,Complete Coverage,28.454231433506045,11.842105263157896,7.8431372549019605,,82.0,176.0,21.285627653123104,,,7530.0,7060.0,202.0,139.0,51.0,4947.0,2583.0,2316.0,152.0,,,,0.0008343116036155822,0.10785478547854783,,1.3367814140698424
Texas,48,Castro,48069,2021-07-01,Partial Coverage,31.99481865284974,16.44736842105263,7.8431372549019605,,106.0,216.0,27.127552051748534,,,7530.0,7060.0,202.0,139.0,51.0,4947.0,2583.0,2316.0,152.0,,,,0.000884304935009724,0.09691881188118813,,1.1794215191926056
Texas,48,Chambers,48071,2021-07-01,Complete Coverage,28.451722819095302,29.345904537418974,53.66614664586584,,840.0,739.0,22.326561901111535,,,43837.0,38395.0,3637.0,468.0,641.0,10436.0,33401.0,28761.0,3394.0,,,,0.0010755295918098305,0.014794194650474319,0.9695295908434685,1.274344117339393
Texas,48,Chambers,48071,2021-07-01,Partial Coverage,32.95087097110671,34.7672362993518,61.31045241809672,,1024.0,958.0,27.309313913376773,,,43837.0,38395.0,3637.0,468.0,641.0,10436.0,33401.0,28761.0,3394.0,,,,0.001153748227177409,0.01567437308640479,0.9477564074231878,1.206579962998139
Texas,48,Cherokee,48073,2021-07-01,Complete Coverage,23.524198398379387,23.212563714010194,31.65680473372781,,788.0,1450.0,12.760354321283218,,,52646.0,42750.0,7620.0,869.0,338.0,12531.0,40115.0,31593.0,7259.0,,,,0.0016512008405317811,0.012652664781887427,1.0134252591919048,1.843538024578437
Texas,48,Cherokee,48073,2021-07-01,Partial Coverage,26.06273541607318,26.697892271662763,32.544378698224854,,978.0,1639.0,16.112042135503952,,,52646.0,42750.0,7620.0,869.0,338.0,12531.0,40115.0,31593.0,7259.0,,,,0.0017069578309033004,0.01286387392365428,0.9762094756722148,1.6175935487806488
Texas,48,Childress,48075,2021-07-01,Complete Coverage,38.877904102817595,32.48663101604278,56.89655172413793,,342.0,133.0,19.02502157031924,,,7306.0,6271.0,791.0,74.0,58.0,2318.0,4988.0,4046.0,748.0,,,,0.0014966509908876135,0.01848470186719941,1.1967354843171836,2.043514324497306
Texas,48,Childress,48075,2021-07-01,Partial Coverage,41.69550173010381,33.8235294117647,60.3448275862069,,361.0,162.0,20.578084555651422,,,7306.0,6271.0,791.0,74.0,58.0,2318.0,4988.0,4046.0,748.0,,,,0.0015384619769234877,0.019548177870609577,1.2327365728900257,2.0262090777857575
Texas,48,Clay,48077,2021-07-01,Complete Coverage,28.047603731103248,15.909090909090908,29.41176470588235,,176.0,497.0,16.62049861495845,,,10471.0,9945.0,110.0,145.0,51.0,722.0,9749.0,9327.0,88.0,,,,0.0022824668428143165,0.38457142857142856,,1.6875308244880454
Texas,48,Clay,48077,2021-07-01,Partial Coverage,29.784496622708268,17.045454545454547,29.41176470588235,,198.0,527.0,18.42105263157895,,,10471.0,9945.0,110.0,145.0,51.0,722.0,9749.0,9327.0,88.0,,,,0.0023118119768993674,0.3866666666666666,,1.616872673804163
Texas,48,Cochran,48079,2021-07-01,Complete Coverage,23.30905306971904,13.131313131313131,14.285714285714286,,53.0,136.0,22.04951065054692,,,2853.0,2587.0,126.0,87.0,21.0,1737.0,1116.0,961.0,99.0,,,,0.0018760410213807118,0.11423076923076923,,1.057123372900835
Texas,48,Cochran,48079,2021-07-01,Partial Coverage,24.24557752341311,15.151515151515152,19.047619047619047,,58.0,153.0,24.122049510650548,,,2853.0,2587.0,126.0,87.0,21.0,1737.0,1116.0,961.0,99.0,,,,0.00196932335612383,0.11052380952380951,,1.0051209584288443
Texas,48,Coke,48081,2021-07-01,Complete Coverage,27.724741447891805,4.0,16.666666666666668,,88.0,33.0,17.222963951935913,,,3387.0,3194.0,35.0,86.0,6.0,749.0,2638.0,2514.0,25.0,,,,0.0011884437203797903,0.8642857142857143,,1.6097543677884467
Texas,48,Coke,48081,2021-07-01,Partial Coverage,31.901352426412092,4.0,16.666666666666668,,102.0,40.0,19.359145527369826,,,3387.0,3194.0,35.0,86.0,6.0,749.0,2638.0,2514.0,25.0,,,,0.0012160145382728881,1.0142857142857142,,1.6478698598194936
Texas,48,Coleman,48083,2021-07-01,Complete Coverage,15.502882767456759,6.382978723404255,11.702127659574469,,98.0,983.0,9.902370990237099,,,8175.0,7529.0,264.0,116.0,94.0,1434.0,6741.0,6244.0,235.0,,,,0.008020042792395663,0.6415025252525253,,1.5655728090516192
Texas,48,Coleman,48083,2021-07-01,Partial Coverage,16.72005124919923,6.808510638297872,11.702127659574469,,129.0,1088.0,11.99442119944212,,,8175.0,7529.0,264.0,116.0,94.0,1434.0,6741.0,6244.0,235.0,,,,0.008267679182092962,0.6770714962121213,,1.3939856681018428
Texas,48,Collin,48085,2021-07-01,Complete Coverage,40.00978933629002,33.42554514820419,60.78270711262541,,55384.0,30230.0,37.03528474314599,,,1034730.0,716671.0,112392.0,7107.0,169642.0,160636.0,874094.0,570008.0,107723.0,,,,0.0017552220838637977,0.02278929497723059,1.196982402497617,1.0803154238930082
Texas,48,Collin,48085,2021-07-01,Partial Coverage,44.434639513831385,38.64077309395394,67.38425625729478,,63835.0,35861.0,43.48651609850843,,,1034730.0,716671.0,112392.0,7107.0,169642.0,160636.0,874094.0,570008.0,107723.0,,,,0.0018224518043132938,0.022956016464895385,1.1499417831467766,1.021802698868201
Texas,48,Collingsworth,48087,2021-07-01,Complete Coverage,28.843861740166865,7.894736842105263,6.666666666666667,,62.0,56.0,11.46881287726358,,,2920.0,2566.0,186.0,94.0,15.0,994.0,1926.0,1678.0,152.0,,,,0.0013547682114833399,0.0803584229390681,,2.5149823306777077
