Geography,Geographic Level,FIPS Code,LDH Region,Demographic Group,Vaccine Status,Count,x,y
_Region 3,REGION,,3,Aged 40-49,Complete,15057,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 50-59,Complete,23927,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 5-17,Complete,1680,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 60-69,Complete,30396,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 70 plus,Complete,30773,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Age Unknown,Complete,2,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Black,Complete,32406,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Other Race,Complete,10535,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Unknown Race,Complete,1055,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,White,Complete,79676,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Female,Complete,68458,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Male,Complete,54994,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Gender Unkown,Complete,220,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 0-4,Incomplete,0,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 18-29,Incomplete,1872,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 30-39,Incomplete,1611,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 40-49,Incomplete,1839,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 50-59,Incomplete,2012,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 5-17,Incomplete,1066,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 60-69,Incomplete,1532,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 70 plus,Incomplete,1187,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Age Unknown,Incomplete,7,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Black,Incomplete,3604,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Other Race,Incomplete,1671,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Unknown Race,Incomplete,138,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,White,Incomplete,5713,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Female,Incomplete,5791,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Male,Incomplete,5306,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Gender Unkown,Incomplete,29,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 50-59,Unvaccinated,30527,-10108433.153177682,3450445.5166252605
